entry_key,source_row,occurrence,sequence,level,type,id,name,semantic_path,binding_path,value
"[""20211128"",""35""]",3239,C,0362,4,C,,detailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier,
"[""20211128"",""35""]",3239,C,0363,5,A,,accountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_AccountNumber,10A100020
"[""20211128"",""35""]",3239,C,0364,5,A,,accountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_AccountDescription,現金
"[""20211128"",""35""]",3239,C,0377,5,C,,subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'],
"[""20211128"",""35""]",3239,C,0378,6,A,,subaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountDescription,共通部門
"[""20211128"",""35""]",3239,C,0379,6,A,,subaccountId,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountID,000
"[""20211128"",""35""]",3239,C,0380,6,A,,type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_Type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_Type,department
"[""20211128"",""35""]",3239,C,0383,4,A,,detailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,新聞代
"[""20211128"",""35""]",3239,C,0384,4,A,,monetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_MonetaryAmount,3925
"[""20211128"",""35""]",3239,C,0387,4,A,,debitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DebitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DebitCreditIndicator,C
"[""20211128"",""38""]",,HEADER,0137,2,C,,entryHeader,$.cor_AccountingEntries.cor_EntryHeader,$.cor_AccountingEntries.cor_EntryHeader,
"[""20211128"",""38""]",,HEADER,0138,3,A,,entryDatePosted,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,2021-11-28
"[""20211128"",""38""]",,HEADER,0150,3,A,,entryId,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,38
"[""20211128"",""38""]",3240,D,0176,3,C,,entryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,
"[""20211128"",""38""]",3240,D,0331,4,C,,detailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax,
"[""20211128"",""38""]",3240,D,0335,5,A,,amountOfTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_AmountofTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax.cor_AmountofTaxes,4378
"[""20211128"",""38""]",3240,D,0338,5,A,,taxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_TaxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax.cor_TaxCategory,S
"[""20211128"",""38""]",3240,D,0362,4,C,,detailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier,
"[""20211128"",""38""]",3240,D,0363,5,A,,accountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_AccountNumber,10E200140
"[""20211128"",""38""]",3240,D,0364,5,A,,accountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_AccountDescription,福利厚生費
"[""20211128"",""38""]",3240,D,0377,5,C,,subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'],
"[""20211128"",""38""]",3240,D,0378,6,A,,subaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountDescription,東京支店
"[""20211128"",""38""]",3240,D,0379,6,A,,subaccountId,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountID,020
"[""20211128"",""38""]",3240,D,0380,6,A,,type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_Type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_Type,department
"[""20211128"",""38""]",3240,D,0383,4,A,,detailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,宿泊費
"[""20211128"",""38""]",3240,D,0384,4,A,,monetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_MonetaryAmount,48164
"[""20211128"",""38""]",3240,D,0387,4,A,,debitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DebitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DebitCreditIndicator,D
"[""20211128"",""38""]",3240,C,0176,3,C,,entryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,
"[""20211128"",""38""]",3240,C,0331,4,C,,detailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax,
"[""20211128"",""38""]",3240,C,0335,5,A,,amountOfTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_AmountofTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax.cor_AmountofTaxes,0
"[""20211128"",""38""]",3240,C,0338,5,A,,taxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_TaxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax.cor_TaxCategory,O
"[""20211128"",""38""]",3240,C,0362,4,C,,detailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier,
"[""20211128"",""38""]",3240,C,0363,5,A,,accountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_AccountNumber,10B100630
"[""20211128"",""38""]",3240,C,0364,5,A,,accountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_AccountDescription,未払金
"[""20211128"",""38""]",3240,C,0377,5,C,,subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'],
"[""20211128"",""38""]",3240,C,0378,6,A,,subaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountDescription,共通部門
"[""20211128"",""38""]",3240,C,0379,6,A,,subaccountId,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountID,000
"[""20211128"",""38""]",3240,C,0380,6,A,,type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_Type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_Type,department
"[""20211128"",""38""]",3240,C,0383,4,A,,detailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,宿泊費
"[""20211128"",""38""]",3240,C,0384,4,A,,monetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_MonetaryAmount,48164
"[""20211128"",""38""]",3240,C,0387,4,A,,debitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DebitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DebitCreditIndicator,C
"[""20211128"",""93""]",,HEADER,0137,2,C,,entryHeader,$.cor_AccountingEntries.cor_EntryHeader,$.cor_AccountingEntries.cor_EntryHeader,
"[""20211128"",""93""]",,HEADER,0138,3,A,,entryDatePosted,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,2021-11-28
"[""20211128"",""93""]",,HEADER,0150,3,A,,entryId,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,93
"[""20211128"",""93""]",3241,D,0176,3,C,,entryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,
"[""20211128"",""93""]",3241,D,0331,4,C,,detailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax,
"[""20211128"",""93""]",3241,D,0335,5,A,,amountOfTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_AmountofTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax.cor_AmountofTaxes,1622
"[""20211128"",""93""]",3241,D,0338,5,A,,taxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_TaxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax.cor_TaxCategory,S
"[""20211128"",""93""]",3241,D,0362,4,C,,detailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier,
"[""20211128"",""93""]",3241,D,0363,5,A,,accountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_AccountNumber,10E201000
"[""20211128"",""93""]",3241,D,0364,5,A,,accountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_AccountDescription,修繕維持費
"[""20211128"",""93""]",3241,D,0377,5,C,,subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'],
"[""20211128"",""93""]",3241,D,0378,6,A,,subaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountDescription,札幌営業所
"[""20211128"",""93""]",3241,D,0379,6,A,,subaccountId,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountID,010
"[""20211128"",""93""]",3241,D,0380,6,A,,type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_Type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_Type,department
"[""20211128"",""93""]",3241,D,0383,4,A,,detailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,修繕費
"[""20211128"",""93""]",3241,D,0384,4,A,,monetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_MonetaryAmount,17850
"[""20211128"",""93""]",3241,D,0387,4,A,,debitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DebitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DebitCreditIndicator,D
"[""20211128"",""93""]",3241,C,0176,3,C,,entryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,
"[""20211128"",""93""]",3241,C,0331,4,C,,detailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax,
"[""20211128"",""93""]",3241,C,0335,5,A,,amountOfTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_AmountofTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax.cor_AmountofTaxes,0
"[""20211128"",""93""]",3241,C,0338,5,A,,taxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_TaxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax.cor_TaxCategory,O
"[""20211128"",""93""]",3241,C,0362,4,C,,detailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier,
"[""20211128"",""93""]",3241,C,0363,5,A,,accountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_AccountNumber,10B100630
"[""20211128"",""93""]",3241,C,0364,5,A,,accountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_AccountDescription,未払金
"[""20211128"",""93""]",3241,C,0377,5,C,,subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'],
"[""20211128"",""93""]",3241,C,0378,6,A,,subaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountDescription,共通部門
"[""20211128"",""93""]",3241,C,0379,6,A,,subaccountId,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountID,000
"[""20211128"",""93""]",3241,C,0380,6,A,,type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_Type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_Type,department
"[""20211128"",""93""]",3241,C,0383,4,A,,detailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,修繕費
"[""20211128"",""93""]",3241,C,0384,4,A,,monetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_MonetaryAmount,17850
"[""20211128"",""93""]",3241,C,0387,4,A,,debitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DebitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DebitCreditIndicator,C
"[""20211128"",""154""]",,HEADER,0137,2,C,,entryHeader,$.cor_AccountingEntries.cor_EntryHeader,$.cor_AccountingEntries.cor_EntryHeader,
"[""20211128"",""154""]",,HEADER,0138,3,A,,entryDatePosted,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,2021-11-28
"[""20211128"",""154""]",,HEADER,0150,3,A,,entryId,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,154
"[""20211128"",""154""]",3242,D,0176,3,C,,entryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,
"[""20211128"",""154""]",3242,D,0331,4,C,,detailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax,
"[""20211128"",""154""]",3242,D,0335,5,A,,amountOfTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_AmountofTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax.cor_AmountofTaxes,306
"[""20211128"",""154""]",3242,D,0338,5,A,,taxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_TaxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax.cor_TaxCategory,S
"[""20211128"",""154""]",3242,D,0362,4,C,,detailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier,
"[""20211128"",""154""]",3242,D,0363,5,A,,accountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_AccountNumber,10E200150
"[""20211128"",""154""]",3242,D,0364,5,A,,accountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_AccountDescription,交際費
"[""20211128"",""154""]",3242,D,0377,5,C,,subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'],
"[""20211128"",""154""]",3242,D,0378,6,A,,subaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountDescription,九州営業所
"[""20211128"",""154""]",3242,D,0379,6,A,,subaccountId,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountID,050
"[""20211128"",""154""]",3242,D,0380,6,A,,type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_Type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_Type,department
"[""20211128"",""154""]",3242,D,0383,4,A,,detailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,食事代 架空店舗047 2名
"[""20211128"",""154""]",3242,D,0384,4,A,,monetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_MonetaryAmount,3372
"[""20211128"",""154""]",3242,D,0387,4,A,,debitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DebitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DebitCreditIndicator,D
"[""20211128"",""154""]",3242,C,0176,3,C,,entryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,
"[""20211128"",""154""]",3242,C,0331,4,C,,detailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax,
"[""20211128"",""154""]",3242,C,0335,5,A,,amountOfTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_AmountofTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax.cor_AmountofTaxes,0
